source,title,company,location,skills,link,skills_extracted,scraped_at
remoteok,finance officer,goal uganda,kampala,"['system', 'coordinator', 'support', 'financial', 'finance', 'strategy']",https://remoteOK.com/remote-jobs/remote-finance-officer-goal-uganda-1130466,"['coordinator', 'finance', 'financial', 'strategy', 'support', 'system']",
remoteok,it officer,goal uganda,kabarole,"['system', 'security', 'travel', 'strategy']",https://remoteOK.com/remote-jobs/remote-it-officer-goal-uganda-1130465,"['security', 'strategy', 'system', 'travel']",
remoteok,sap walkme development senior consultant,new era technology,india,"['consultant', 'consulting', 'senior']",https://remoteOK.com/remote-jobs/remote-sap-walkme-development-senior-consultant-new-era-technology-1130464,"['consultant', 'consulting', 'senior']",
remoteok,clinical informaticist,mcg health,remote,"['technical', 'lead', 'content', 'medical', 'health', 'healthcare']",https://remoteOK.com/remote-jobs/remote-clinical-informaticist-mcg-health-1130463,"['content', 'health', 'healthcare', 'lead', 'medical', 'technical']",
remoteok,administrative business partner,openai,san francisco,"['security', 'support', 'growth', 'travel', 'management', 'operations', 'operational', 'executive']",https://remoteOK.com/remote-jobs/remote-administrative-business-partner-openai-1130462,"['executive', 'growth', 'management', 'operational', 'operations', 'security', 'support', 'travel']",
remoteok,technical product manager,lavendo,san francisco,"['manager', 'system', 'technical', 'growth', 'voice', 'video', 'api', 'management', 'lead', 'engineering']",https://remoteOK.com/remote-jobs/remote-technical-product-manager-lavendo-1130461,"['api', 'engineering', 'growth', 'lead', 'management', 'manager', 'system', 'technical', 'video', 'voice']",
remoteok,ui ux designer for career services company,paired,remote,"['ui', 'ux', 'design', 'founder', 'designer', 'technical', 'operations', 'operational', 'marketing', 'sales', 'go', 'recruiting', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-ui-ux-designer-for-career-services-company-paired-1130460,"['design', 'designer', 'digital nomad', 'founder', 'go', 'marketing', 'operational', 'operations', 'recruiting', 'sales', 'technical', 'ui', 'ux']",
remoteok,engineering manager,sharebite,remote,"['manager', 'design', 'technical', 'support', 'software', 'growth', 'management', 'lead', 'engineer', 'engineering', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-engineering-manager-sharebite-1130459,"['design', 'digital nomad', 'engineer', 'engineering', 'growth', 'lead', 'management', 'manager', 'software', 'support', 'technical']",
remoteok,software engineer,lumin digital,remote,"['software', 'technical', 'code', 'web', 'scrum', 'engineer', 'engineering']",https://remoteOK.com/remote-jobs/remote-software-engineer-lumin-digital-1130458,"['code', 'engineer', 'engineering', 'scrum', 'software', 'technical', 'web']",
remoteok,technical architect aus company,anypear,remote,"['architect', 'design', 'consultant', 'technical', 'management', 'recruitment', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-technical-architect-aus-company-anypear-1130457,"['architect', 'consultant', 'design', 'digital nomad', 'management', 'recruitment', 'technical']",
remoteok,senior full stack software developer,judi health,remote,"['developer', 'software', 'design', 'system', 'full-stack', 'management', 'senior', 'medical', 'health', 'healthcare', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-senior-full-stack-software-developer-judi-health-1130456,"['design', 'developer', 'digital nomad', 'full-stack', 'health', 'healthcare', 'management', 'medical', 'senior', 'software', 'system']",
remoteok,senior engineering manager cloud enablement,temporal technologies,united states,"['manager', 'system', 'technical', 'developer', 'software', 'code', 'cloud', 'lead', 'senior', 'engineering', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-senior-engineering-manager-cloud-enablement-temporal-technologies-1130455,"['cloud', 'code', 'developer', 'digital nomad', 'engineering', 'lead', 'manager', 'senior', 'software', 'system', 'technical']",
remoteok,social media lead,opensea,new york city,"['crypto', 'copywriter', 'strategy', 'lead', 'content', 'analytics', 'health', 'full-time', 'non tech']",https://remoteOK.com/remote-jobs/remote-social-media-lead-opensea-1130454,"['analytics', 'content', 'copywriter', 'crypto', 'full-time', 'health', 'lead', 'non tech', 'strategy']",
remoteok,saas configuration analyst,coderio,remote,"['saas', 'analyst', 'system', 'technical', 'support', 'software', 'test', 'growth', 'lead', 'junior', 'engineering']",https://remoteOK.com/remote-jobs/remote-saas-configuration-analyst-coderio-1130452,"['analyst', 'engineering', 'growth', 'junior', 'lead', 'saas', 'software', 'support', 'system', 'technical', 'test']",
remoteok,sales systems engineer,veeam software,"san jose, ca, usa","['dev', 'technical', 'leader', 'sales', 'go', 'engineer', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-sales-systems-engineer-veeam-software-1130451,"['dev', 'digital nomad', 'engineer', 'go', 'leader', 'sales', 'technical']",
remoteok,,,remote,[],https://remoteOK.com/remote-jobs/remote-1130450,[],
remoteok,manager paid search,wpp media,dã¼sseldorf,"['manager', 'health', 'non tech']",https://remoteOK.com/remote-jobs/remote-manager-paid-search-wpp-media-1130449,"['health', 'manager', 'non tech']",
remoteok,engineering manager ml platform and infrastructure,applied intuition,sunnyvale,"['manager', 'lead', 'engineering']",https://remoteOK.com/remote-jobs/remote-engineering-manager-ml-platform-and-infrastructure-applied-intuition-1130448,"['engineering', 'lead', 'manager', 'ml']",
remoteok,sr director data engineering & analytics,arcadia,united states,"['director', 'leader', 'management', 'lead', 'analytics', 'engineering', 'educational']",https://remoteOK.com/remote-jobs/remote-sr-director-data-engineering-analytics-arcadia-1130447,"['analytics', 'director', 'educational', 'engineering', 'lead', 'leader', 'management']",
remoteok,cx specialist,too good to go,toronto,"['golang', 'health', 'educational', 'non tech']",https://remoteOK.com/remote-jobs/remote-cx-specialist-too-good-to-go-1130446,"['educational', 'golang', 'health', 'non tech']",
remoteok,real estate investor â expert ai trainer,mentis ai,remote,"['trainer', 'training', 'financial', 'investment', 'investor', 'finance', 'analytics', 'non tech']",https://remoteOK.com/remote-jobs/remote-real-estate-investor-expert-ai-trainer-mentis-ai-1130445,"['ai', 'analytics', 'finance', 'financial', 'investment', 'investor', 'non tech', 'trainer', 'training']",
remoteok,c++ developer,magic media,remote,"['developer', 'python', 'vfx', 'training', 'game', 'technical', 'support', 'programmer', 'software', 'growth', 'video', 'c++', 'content', 'go', 'engineering', 'full-time', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-c-developer-magic-media-1130444,"['c++', 'content', 'developer', 'digital nomad', 'engineering', 'full-time', 'game', 'go', 'growth', 'programmer', 'python', 'software', 'support', 'technical', 'training', 'vfx', 'video']",
remoteok,technical lead devops,nearform,italy,"['technical', 'devops', 'lead', 'senior', 'engineering']",https://remoteOK.com/remote-jobs/remote-technical-lead-devops-nearform-1130443,"['devops', 'engineering', 'lead', 'senior', 'technical']",
remoteok,data & market insights associate,elemental terra,remote,"['other', 'crypto', 'finance', 'web3', 'bitcoin', 'education', 'blockchain', 'defi']",https://remoteOK.com/remote-jobs/remote-data-market-insights-associate-elemental-terra-1130442,"['bitcoin', 'blockchain', 'crypto', 'defi', 'education', 'finance', 'other', 'web3']",
remoteok,marketing operations manager,"chartbeat, inc.",remote,"['manager', 'strategy', 'lead', 'operations', 'marketing', 'analytics', 'non tech']",https://remoteOK.com/remote-jobs/remote-marketing-operations-manager-chartbeat-inc-1130441,"['analytics', 'lead', 'manager', 'marketing', 'non tech', 'operations', 'strategy']",
remoteok,2d game design intern,playpower labs,remote,"['design', 'game', 'ui', 'animation', 'content', 'educational', 'internship', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-2d-game-design-intern-playpower-labs-1130440,"['animation', 'content', 'design', 'digital nomad', 'educational', 'game', 'internship', 'ui']",
remoteok,senior security engineer,you.com,san francisco,"['security', 'software', 'senior', 'engineer', 'engineering']",https://remoteOK.com/remote-jobs/remote-senior-security-engineer-you-com-1130439,"['engineer', 'engineering', 'security', 'senior', 'software']",
remoteok,qa engineer,mex digital fze,dubai,"['cryptocurrency', 'technical', 'developer', 'testing', 'test', 'growth', 'qa', 'financial', 'fintech', 'api', 'reliability', 'engineer', 'digital nomad']",https://remoteOK.com/remote-jobs/remote-qa-engineer-mex-digital-fze-1130438,"['api', 'cryptocurrency', 'developer', 'digital nomad', 'engineer', 'financial', 'fintech', 'growth', 'qa', 'reliability', 'technical', 'test', 'testing']",
